"strain","wbid"
"CHS 1156","WBGene00005834"
"CHS 1156","WBGene00005835"
"CHS 1156","WBGene00045413"
"CHS 1157","WBGene00003807"
"CHS 1157","WBGene00003808"
"CHS 1157","WBGene00007006"
"CHS 1157","WBGene00007635"
"CHS 1157","WBGene00008278"
"CHS 1157","WBGene00021983"
"CHS 1158","WBGene00005812"
"CHS 1158","WBGene00005813"
"CHS 1158","WBGene00005814"
"CHS 1158","WBGene00005815"
"CHS 1158","WBGene00005816"
"CHS 1158","WBGene00005818"
"CHS 1158","WBGene00005820"
"CHS 1159","WBGene00005352"
"CHS 1159","WBGene00005353"
"CHS 1159","WBGene00005354"
"CHS 1159","WBGene00005355"
"CHS 1159","WBGene00005356"
"CHS 1159","WBGene00005357"
"CHS 1159","WBGene00005358"
"CHS 1159","WBGene00005359"
"CHS 1159","WBGene00005361"
"CHS 1160","WBGene00008300"
"CHS 1160","WBGene00008481"
"CHS 1160","WBGene00009333"
"CHS 1160","WBGene00011709"
"CHS 1160","WBGene00021357"
"CHS 1160","WBGene00021524"
"CHS 1161","WBGene00011341"
"CHS 1161","WBGene00012397"
"CHS 1161","WBGene00015409"
"CHS 1161","WBGene00019625"
"CHS 1161","WBGene00206366"
"CHS 1162","WBGene00005722"
"CHS 1162","WBGene00005723"
"CHS 1162","WBGene00005724"
"CHS 1162","WBGene00005725"
"CHS 1162","WBGene00005726"
"CHS 1162","WBGene00005727"
"CHS 1163","WBGene00005345"
"CHS 1163","WBGene00005346"
"CHS 1163","WBGene00005347"
"CHS 1163","WBGene00005348"
"CHS 1163","WBGene00005349"
"CHS 1163","WBGene00005350"
"CHS 1163","WBGene00005351"
"CHS 1164","WBGene00005964"
"CHS 1164","WBGene00005965"
"CHS 1164","WBGene00005967"
"CHS 1164","WBGene00005968"
"CHS 1164","WBGene00005969"
"CHS 1164","WBGene00005971"
"CHS 1164","WBGene00005973"
"CHS 1165","WBGene00018312"
"CHS 1165","WBGene00018313"
"CHS 1165","WBGene00020056"
"CHS 1165","WBGene00020057"
"CHS 1165","WBGene00044179"
"CHS 1165","WBGene00044778"
"CHS 1166","WBGene00006138"
"CHS 1166","WBGene00006139"
"CHS 1166","WBGene00006140"
"CHS 1166","WBGene00006141"
"CHS 1166","WBGene00006142"
"CHS 1167","WBGene00019262"
"CHS 1167","WBGene00020523"
"CHS 1167","WBGene00020524"
"CHS 1167","WBGene00020525"
"CHS 1167","WBGene00022604"
"CHS 1167","WBGene00022605"
"CHS 1167","WBGene00022606"
"CHS 1167","WBGene00194821"
"CHS 1168","WBGene00005463"
"CHS 1168","WBGene00005464"
"CHS 1168","WBGene00005470"
"CHS 1168","WBGene00005471"
"CHS 1168","WBGene00005472"
"CHS 1168","WBGene00005474"
"CHS 1169","WBGene00005088"
"CHS 1169","WBGene00005089"
"CHS 1169","WBGene00005090"
"CHS 1169","WBGene00005091"
"CHS 1169","WBGene00005093"
"CHS 1169","WBGene00005094"
"CHS 1170","WBGene00007678"
"CHS 1170","WBGene00009569"
"CHS 1170","WBGene00012406"
"CHS 1170","WBGene00021970"
"CHS 1170","WBGene00023479"
"CHS 1170","WBGene00023499"
"CHS 1171","WBGene00005975"
"CHS 1171","WBGene00005976"
"CHS 1171","WBGene00005977"
"CHS 1171","WBGene00005978"
"CHS 1171","WBGene00005979"
"CHS 1171","WBGene00005981"
"CHS 1171","WBGene00005983"
"CHS 1171","WBGene00005984"
"CHS 1172","WBGene00006081"
"CHS 1172","WBGene00006082"
"CHS 1172","WBGene00006083"
"CHS 1172","WBGene00006084"
"CHS 1172","WBGene00006085"
"CHS 1172","WBGene00006086"
"CHS 1172","WBGene00006087"
"CHS 1172","WBGene00006090"
"CHS 1172","WBGene00006092"
"CHS 1172","WBGene00009046"
"CHS 1173","WBGene00003856"
"CHS 1174","WBGene00044602"
"CHS 1174","WBGene00077588"
"CHS 1175","WBGene00005203"
"CHS 1175","WBGene00005204"
"CHS 1175","WBGene00005205"
"CHS 1175","WBGene00005207"
"CHS 1175","WBGene00005208"
"CHS 1175","WBGene00005210"
"CHS 1175","WBGene00014998"
"CHS 1175","WBGene00043061"
"CHS 1175","WBGene00235350"
"CHS 1176","WBGene00006211"
"CHS 1176","WBGene00006214"
"CHS 1176","WBGene00006215"
"CHS 1176","WBGene00006216"
"CHS 1176","WBGene00006217"
"CHS 1176","WBGene00006218"
"CHS 1176","WBGene00006219"
"CHS 1176","WBGene00021177"
"CHS 1177","WBGene00005448"
"CHS 1177","WBGene00005449"
"CHS 1177","WBGene00005450"
"CHS 1177","WBGene00005451"
"CHS 1177","WBGene00005452"
"CHS 1178","WBGene00000085"
"CHS 1178","WBGene00016089"
"CHS 1178","WBGene00016090"
"CHS 1178","WBGene00016748"
"CHS 1179","WBGene00007528"
"CHS 1179","WBGene00013389"
"CHS 1179","WBGene00013551"
"CHS 1179","WBGene00044031"
"CHS 1180","WBGene00005770"
"CHS 1180","WBGene00005771"
"CHS 1180","WBGene00005773"
"CHS 1180","WBGene00005776"
"CHS 1180","WBGene00005777"
"CHS 1180","WBGene00005778"
"CHS 1180","WBGene00005779"
"CHS 1181","WBGene00005059"
"CHS 1181","WBGene00005060"
"CHS 1181","WBGene00005061"
"CHS 1181","WBGene00005062"
"CHS 1181","WBGene00005063"
"CHS 1181","WBGene00005064"
"CHS 1181","WBGene00005065"
"CHS 1181","WBGene00077679"
"CHS 1182","WBGene00006070"
"CHS 1182","WBGene00006071"
"CHS 1182","WBGene00006232"
"CHS 1182","WBGene00006233"
"CHS 1182","WBGene00006234"
"CHS 1182","WBGene00006235"
"CHS 1182","WBGene00006236"
"CHS 1182","WBGene00006237"
"CHS 1182","WBGene00006238"
"CHS 1183","WBGene00006222"
"CHS 1183","WBGene00006228"
"CHS 1183","WBGene00006229"
"CHS 1183","WBGene00006230"
"CHS 1183","WBGene00006231"
"CHS 1183","WBGene00013812"
"CHS 1184","WBGene00013938"
"CHS 1184","WBGene00022522"
"CHS 1184","WBGene00045101"
"CHS 1184","WBGene00077531"
"CHS 1184","WBGene00206392"
"CHS 1184","WBGene00269432"
"CHS 1185","WBGene00009889"
"CHS 1185","WBGene00019012"
"CHS 1185","WBGene00022584"
"CHS 1186","WBGene00005140"
"CHS 1186","WBGene00005141"
"CHS 1186","WBGene00005142"
"CHS 1186","WBGene00005143"
"CHS 1186","WBGene00005144"
"CHS 1186","WBGene00005145"
"CHS 1186","WBGene00005146"
"CHS 1186","WBGene00005147"
"CHS 1186","WBGene00007701"
"CHS 1187","WBGene00005907"
"CHS 1187","WBGene00005908"
"CHS 1187","WBGene00005909"
"CHS 1187","WBGene00005911"
"CHS 1187","WBGene00005912"
"CHS 1187","WBGene00005913"
"CHS 1187","WBGene00005914"
"CHS 1188","WBGene00005748"
"CHS 1188","WBGene00005749"
"CHS 1188","WBGene00005750"
"CHS 1188","WBGene00005751"
"CHS 1188","WBGene00005753"
"CHS 1188","WBGene00005754"
"CHS 1188","WBGene00005755"
"CHS 1189","WBGene00006186"
"CHS 1189","WBGene00006187"
"CHS 1189","WBGene00006188"
"CHS 1189","WBGene00006190"
"CHS 1189","WBGene00006191"
"CHS 1190","WBGene00005079"
"CHS 1190","WBGene00005080"
"CHS 1190","WBGene00005081"
"CHS 1190","WBGene00005082"
"CHS 1190","WBGene00005083"
"CHS 1190","WBGene00005085"
"CHS 1190","WBGene00005086"
"CHS 1190","WBGene00005087"
"CHS 1191","WBGene00005874"
"CHS 1191","WBGene00005876"
"CHS 1191","WBGene00005880"
"CHS 1191","WBGene00005881"
"CHS 1191","WBGene00005883"
"CHS 1191","WBGene00005891"
"CHS 1191","WBGene00011197"
"CHS 1192","WBGene00005168"
"CHS 1192","WBGene00005170"
"CHS 1192","WBGene00005177"
"CHS 1192","WBGene00005178"
"CHS 1192","WBGene00005179"
"CHS 1192","WBGene00005180"
"CHS 1192","WBGene00005181"
"CHS 1193","WBGene00005552"
"CHS 1193","WBGene00005554"
"CHS 1193","WBGene00005555"
"CHS 1193","WBGene00005557"
"CHS 1193","WBGene00005558"
"CHS 1193","WBGene00005559"
"CHS 1193","WBGene00005560"
"CHS 1194","WBGene00007146"
"CHS 1194","WBGene00007483"
"CHS 1194","WBGene00015081"
"CHS 1194","WBGene00017433"
"CHS 1194","WBGene00018089"
"CHS 1194","WBGene00022811"
"CHS 1195","WBGene00014914"
"CHS 1196","WBGene00005101"
"CHS 1196","WBGene00005103"
"CHS 1196","WBGene00005104"
"CHS 1196","WBGene00005105"
"CHS 1196","WBGene00005106"
"CHS 1196","WBGene00005107"
"CHS 1196","WBGene00005108"
"CHS 1196","WBGene00005109"
"CHS 1197","WBGene00010979"
"CHS 1197","WBGene00013398"
"CHS 1197","WBGene00016248"
"CHS 1197","WBGene00017278"
"CHS 1197","WBGene00021490"
"CHS 1198","WBGene00005712"
"CHS 1198","WBGene00005713"
"CHS 1198","WBGene00005714"
"CHS 1198","WBGene00005715"
"CHS 1198","WBGene00005728"
"CHS 1198","WBGene00005730"
"CHS 1198","WBGene00005732"
"CHS 1198","WBGene00005733"
"CHS 1198","WBGene00005745"
"CHS 1199","WBGene00005877"
"CHS 1199","WBGene00005886"
"CHS 1199","WBGene00005887"
"CHS 1199","WBGene00005888"
"CHS 1199","WBGene00005889"
"CHS 1199","WBGene00005890"
"CHS 1200","WBGene00005131"
"CHS 1200","WBGene00005132"
"CHS 1200","WBGene00005133"
"CHS 1200","WBGene00005134"
"CHS 1200","WBGene00005135"
"CHS 1200","WBGene00005136"
"CHS 1201","WBGene00006103"
"CHS 1201","WBGene00006108"
"CHS 1201","WBGene00006109"
"CHS 1201","WBGene00006110"
"CHS 1201","WBGene00006111"
"CHS 1201","WBGene00006112"
"CHS 1201","WBGene00006113"
"CHS 1202","WBGene00011570"
"CHS 1202","WBGene00012287"
"CHS 1202","WBGene00012288"
"CHS 1202","WBGene00013281"
"CHS 1202","WBGene00013282"
"CHS 1202","WBGene00016832"
"CHS 1203","WBGene00012088"
"CHS 1203","WBGene00012089"
"CHS 1203","WBGene00012090"
"CHS 1203","WBGene00012093"
"CHS 1204","WBGene00011397"
"CHS 1204","WBGene00012575"
"CHS 1204","WBGene00044241"
"CHS 1204","WBGene00045356"
"CHS 1204","WBGene00045380"
"CHS 1204","WBGene00077464"
"CHS 1205","WBGene00005803"
"CHS 1205","WBGene00005804"
"CHS 1205","WBGene00005806"
"CHS 1205","WBGene00005807"
"CHS 1205","WBGene00005808"
"CHS 1205","WBGene00005809"
"CHS 1205","WBGene00005810"
"CHS 1206","WBGene00014191"
"CHS 1206","WBGene00015862"
"CHS 1206","WBGene00015998"
"CHS 1206","WBGene00016856"
"CHS 1206","WBGene00016857"
"CHS 1206","WBGene00018552"
"CHS 1206","WBGene00018558"
"CHS 1206","WBGene00018617"
"CHS 1206","WBGene00019850"
"CHS 1206","WBGene00021947"
"CHS 1206","WBGene00021951"
"CHS 1206","WBGene00044460"
"CHS 1207","WBGene00007395"
"CHS 1207","WBGene00010329"
"CHS 1207","WBGene00014300"
"CHS 1207","WBGene00017779"
"CHS 1208","WBGene00005780"
"CHS 1208","WBGene00005781"
"CHS 1208","WBGene00005782"
"CHS 1208","WBGene00005783"
"CHS 1208","WBGene00005785"
"CHS 1208","WBGene00005786"
"CHS 1209","WBGene00008286"
"CHS 1209","WBGene00009194"
"CHS 1209","WBGene00011693"
"CHS 1209","WBGene00019891"
"CHS 1209","WBGene00044027"
"CHS 1209","WBGene00044045"
"CHS 1209","WBGene00044048"
"CHS 1210","WBGene00008982"
"CHS 1210","WBGene00009566"
"CHS 1210","WBGene00022404"
"CHS 1210","WBGene00022405"
"CHS 1210","WBGene00022406"
"CHS 1210","WBGene00022408"
"CHS 1211","WBGene00005123"
"CHS 1211","WBGene00005124"
"CHS 1211","WBGene00005125"
"CHS 1211","WBGene00005126"
"CHS 1211","WBGene00005128"
"CHS 1211","WBGene00005129"
"CHS 1212","WBGene00007614"
"CHS 1212","WBGene00008736"
"CHS 1212","WBGene00008737"
"CHS 1212","WBGene00013871"
"CHS 1212","WBGene00016570"
"CHS 1212","WBGene00018798"
"CHS 1212","WBGene00019224"
"CHS 1213","WBGene00006143"
"CHS 1213","WBGene00006144"
"CHS 1213","WBGene00006145"
"CHS 1213","WBGene00006146"
"CHS 1213","WBGene00006147"
"CHS 1213","WBGene00006148"
"CHS 1213","WBGene00006149"
"CHS 1213","WBGene00006150"
"CHS 1213","WBGene00006151"
"CHS 1213","WBGene00006152"
"CHS 1213","WBGene00007370"
"CHS 1214","WBGene00009596"
"CHS 1214","WBGene00010511"
"CHS 1214","WBGene00015712"
"CHS 1214","WBGene00015898"
"CHS 1214","WBGene00017330"
"CHS 1214","WBGene00020333"
"CHS 1215","WBGene00008126"
"CHS 1215","WBGene00009462"
"CHS 1215","WBGene00013907"
"CHS 1215","WBGene00013957"
"CHS 1215","WBGene00016833"
"CHS 1215","WBGene00018139"
"CHS 1216","WBGene00019981"
"CHS 1216","WBGene00019982"
"CHS 1216","WBGene00020746"
"CHS 1216","WBGene00021477"
"CHS 1216","WBGene00044091"
"CHS 1217","WBGene00005679"
"CHS 1217","WBGene00005680"
"CHS 1217","WBGene00005681"
"CHS 1217","WBGene00005682"
"CHS 1217","WBGene00005683"
"CHS 1217","WBGene00005705"
"CHS 1218","WBGene00005684"
"CHS 1218","WBGene00005685"
"CHS 1218","WBGene00005686"
"CHS 1218","WBGene00005687"
"CHS 1218","WBGene00005688"
"CHS 1218","WBGene00005689"
"CHS 1218","WBGene00005690"
"CHS 1218","WBGene00005691"
"CHS 1219","WBGene00005787"
"CHS 1219","WBGene00005788"
"CHS 1219","WBGene00005789"
"CHS 1219","WBGene00005790"
"CHS 1219","WBGene00005791"
"CHS 1219","WBGene00005795"
"CHS 1220","WBGene00005638"
"CHS 1220","WBGene00005639"
"CHS 1220","WBGene00005640"
"CHS 1220","WBGene00009808"
"CHS 1220","WBGene00009810"
"CHS 1220","WBGene00010273"
"CHS 1220","WBGene00044112"
"CHS 1221","WBGene00006273"
"CHS 1221","WBGene00006274"
"CHS 1221","WBGene00006275"
"CHS 1221","WBGene00006276"
"CHS 1221","WBGene00006278"
"CHS 1221","WBGene00006289"
"CHS 1222","WBGene00011693"
"CHS 1222","WBGene00011695"
"CHS 1222","WBGene00013335"
"CHS 1222","WBGene00014924"
"CHS 1222","WBGene00044027"
"CHS 1223","WBGene00010448"
"CHS 1223","WBGene00016037"
"CHS 1223","WBGene00018179"
"CHS 1223","WBGene00044004"
"CHS 1223","WBGene00077493"
"CHS 1224","WBGene00007865"
"CHS 1224","WBGene00010588"
"CHS 1224","WBGene00010590"
"CHS 1224","WBGene00010688"
"CHS 1224","WBGene00014195"
"CHS 1224","WBGene00023506"
"CHS 1225","WBGene00005836"
"CHS 1225","WBGene00005837"
"CHS 1225","WBGene00005838"
"CHS 1225","WBGene00005841"
"CHS 1225","WBGene00005842"
"CHS 1225","WBGene00005844"
"CHS 1225","WBGene00005845"
"CHS 1226","WBGene00007432"
"CHS 1226","WBGene00009707"
"CHS 1226","WBGene00012846"
"CHS 1226","WBGene00012847"
"CHS 1226","WBGene00044115"
"CHS 1226","WBGene00044116"
"CHS 1227","WBGene00010020"
"CHS 1227","WBGene00010021"
"CHS 1227","WBGene00013908"
"CHS 1227","WBGene00013909"
"CHS 1227","WBGene00013910"
"CHS 1227","WBGene00017511"
"CHS 1227","WBGene00019242"
"CHS 1228","WBGene00005986"
"CHS 1228","WBGene00005987"
"CHS 1228","WBGene00005988"
"CHS 1228","WBGene00005989"
"CHS 1229","WBGene00005664"
"CHS 1229","WBGene00005665"
"CHS 1229","WBGene00005666"
"CHS 1229","WBGene00005667"
"CHS 1229","WBGene00005669"
"CHS 1229","WBGene00005671"
"CHS 1230","WBGene00005071"
"CHS 1230","WBGene00005072"
"CHS 1230","WBGene00005073"
"CHS 1230","WBGene00005076"
"CHS 1230","WBGene00008489"
"CHS 1230","WBGene00016743"
"CHS 1230","WBGene00016925"
"CHS 1230","WBGene00016928"
"CHS 1230","WBGene00019025"
"CHS 1231","WBGene00006239"
"CHS 1231","WBGene00006240"
"CHS 1231","WBGene00006241"
"CHS 1231","WBGene00006242"
"CHS 1231","WBGene00006244"
"CHS 1231","WBGene00006247"
"CHS 1232","WBGene00006005"
"CHS 1232","WBGene00006006"
"CHS 1232","WBGene00006016"
"CHS 1232","WBGene00006019"
"CHS 1232","WBGene00006020"
"CHS 1232","WBGene00006022"
"CHS 1232","WBGene00006027"
"CHS 1233","WBGene00006260"
"CHS 1233","WBGene00006261"
"CHS 1233","WBGene00006262"
"CHS 1233","WBGene00006263"
"CHS 1233","WBGene00006264"
"CHS 1233","WBGene00006265"
"CHS 1233","WBGene00007360"
"CHS 1234","WBGene00005028"
"CHS 1234","WBGene00005029"
"CHS 1234","WBGene00005030"
"CHS 1234","WBGene00005032"
"CHS 1234","WBGene00005033"
"CHS 1234","WBGene00005034"
"CHS 1234","WBGene00005035"
"CHS 1235","WBGene00005735"
"CHS 1235","WBGene00005736"
"CHS 1235","WBGene00005737"
"CHS 1235","WBGene00005738"
"CHS 1235","WBGene00005739"
"CHS 1235","WBGene00005740"
"CHS 1235","WBGene00005741"
"CHS 1235","WBGene00005742"
"CHS 1235","WBGene00005743"
"CHS 1235","WBGene00005744"
"CHS 1236","WBGene00005578"
"CHS 1236","WBGene00005579"
"CHS 1236","WBGene00005581"
"CHS 1236","WBGene00005582"
"CHS 1236","WBGene00005583"
"CHS 1236","WBGene00005584"
"CHS 1236","WBGene00005585"
"CHS 1236","WBGene00005586"
"CHS 1236","WBGene00005589"
"CHS 1236","WBGene00219383"
"CHS 1237","WBGene00005518"
"CHS 1237","WBGene00005519"
"CHS 1237","WBGene00005521"
"CHS 1237","WBGene00005522"
"CHS 1237","WBGene00005523"
"CHS 1237","WBGene00005524"
"CHS 1237","WBGene00005525"
"CHS 1237","WBGene00005526"
"CHS 1237","WBGene00005527"
"CHS 1237","WBGene00005528"
"CHS 1237","WBGene00005529"
"CHS 1238","WBGene00008550"
"CHS 1238","WBGene00011211"
"CHS 1238","WBGene00012349"
"CHS 1238","WBGene00019099"
"CHS 1238","WBGene00022735"
"CHS 1238","WBGene00022736"
"CHS 1238","WBGene00077514"
"CHS 1239","WBGene00008815"
"CHS 1239","WBGene00008818"
"CHS 1239","WBGene00009912"
"CHS 1239","WBGene00012026"
"CHS 1239","WBGene00012028"
"CHS 1239","WBGene00013468"
"CHS 1239","WBGene00013629"
"CHS 1239","WBGene00023505"
"CHS 1239","WBGene00023515"
"CHS 1240","WBGene00009729"
"CHS 1240","WBGene00014248"
"CHS 1240","WBGene00017566"
"CHS 1240","WBGene00019098"
"CHS 1240","WBGene00019099"
"CHS 1240","WBGene00020150"
"CHS 1240","WBGene00021310"
"CHS 1240","WBGene00202511"
"CHS 1241","WBGene00005118"
"CHS 1241","WBGene00005119"
"CHS 1241","WBGene00005120"
"CHS 1241","WBGene00005121"
"CHS 1241","WBGene00005122"
"CHS 1241","WBGene00005127"
"CHS 1242","WBGene00005947"
"CHS 1242","WBGene00005949"
"CHS 1242","WBGene00005951"
"CHS 1242","WBGene00005953"
"CHS 1242","WBGene00005954"
"CHS 1242","WBGene00005956"
"CHS 1242","WBGene00005957"
"CHS 1242","WBGene00005958"
"CHS 1242","WBGene00005959"
"CHS 1243","WBGene00005400"
"CHS 1243","WBGene00005401"
"CHS 1243","WBGene00005402"
"CHS 1243","WBGene00005404"
"CHS 1243","WBGene00005405"
"CHS 1243","WBGene00005406"
"CHS 1243","WBGene00005407"
"CHS 1243","WBGene00005408"
"CHS 1243","WBGene00005410"
"CHS 1243","WBGene00005411"
"CHS 1243","WBGene00005412"
"CHS 1243","WBGene00005414"
"CHS 1243","WBGene00005415"
"CHS 1243","WBGene00005416"
"CHS 1243","WBGene00005417"
"CHS 1243","WBGene00005418"
"CHS 1243","WBGene00005419"
"CHS 1244","WBGene00005439"
"CHS 1244","WBGene00005440"
"CHS 1244","WBGene00005441"
"CHS 1244","WBGene00005442"
"CHS 1244","WBGene00005443"
"CHS 1244","WBGene00005444"
"CHS 1244","WBGene00005446"
"CHS 1244","WBGene00005447"
"CHS 1245","WBGene00006021"
"CHS 1245","WBGene00006024"
"CHS 1245","WBGene00006025"
"CHS 1245","WBGene00006026"
"CHS 1245","WBGene00006028"
"CHS 1246","WBGene00007123"
"CHS 1246","WBGene00007127"
"CHS 1246","WBGene00007831"
"CHS 1246","WBGene00007832"
"CHS 1246","WBGene00010797"
"CHS 1246","WBGene00010798"
"CHS 1246","WBGene00011506"
"CHS 1246","WBGene00021571"
"CHS 1246","WBGene00044106"
"CHS 1246","WBGene00044735"
"CHS 1247","WBGene00005236"
"CHS 1247","WBGene00005237"
"CHS 1247","WBGene00005240"
"CHS 1247","WBGene00005241"
"CHS 1247","WBGene00005242"
"CHS 1247","WBGene00005243"
"CHS 1247","WBGene00005244"
"CHS 1247","WBGene00005245"
"CHS 1247","WBGene00005246"
"CHS 1247","WBGene00005247"
"CHS 1247","WBGene00005248"
"CHS 1248","WBGene00006280"
"CHS 1248","WBGene00006281"
"CHS 1248","WBGene00006282"
"CHS 1248","WBGene00006283"
"CHS 1248","WBGene00006284"
"CHS 1248","WBGene00006286"
"CHS 1248","WBGene00006287"
"CHS 1248","WBGene00006288"
"CHS 1248","WBGene00021216"
"CHS 1248","WBGene00021217"
"CHS 1249","WBGene00005544"
"CHS 1249","WBGene00005545"
"CHS 1249","WBGene00005546"
"CHS 1249","WBGene00005548"
"CHS 1249","WBGene00005549"
"CHS 1249","WBGene00005550"
"CHS 1249","WBGene00005551"
"CHS 1249","WBGene00005552"
"CHS 1250","WBGene00008814"
"CHS 1250","WBGene00011876"
"CHS 1250","WBGene00015175"
"CHS 1250","WBGene00021722"
"CHS 1250","WBGene00022481"
"CHS 1250","WBGene00022483"
"CHS 1250","WBGene00023411"
"CHS 1251","WBGene00009567"
"CHS 1251","WBGene00009568"
"CHS 1251","WBGene00016689"
"CHS 1251","WBGene00016690"
"CHS 1251","WBGene00016691"
"CHS 1251","WBGene00016692"
"CHS 1251","WBGene00021166"
"CHS 1251","WBGene00044100"
"CHS 1252","WBGene00012283"
"CHS 1252","WBGene00013285"
"CHS 1252","WBGene00013286"
"CHS 1252","WBGene00013287"
"CHS 1252","WBGene00013288"
"CHS 1252","WBGene00018190"
"CHS 1252","WBGene00020424"
"CHS 1252","WBGene00077562"
"CHS 1253","WBGene00005846"
"CHS 1253","WBGene00005847"
"CHS 1253","WBGene00005848"
"CHS 1253","WBGene00005849"
"CHS 1253","WBGene00005850"
"CHS 1253","WBGene00005854"
"CHS 1253","WBGene00005856"
"CHS 1254","WBGene00006170"
"CHS 1254","WBGene00006171"
"CHS 1254","WBGene00006172"
"CHS 1254","WBGene00006173"
"CHS 1254","WBGene00021569"
"CHS 1254","WBGene00021573"
"CHS 1255","WBGene00006249"
"CHS 1255","WBGene00006251"
"CHS 1255","WBGene00006252"
"CHS 1255","WBGene00006253"
"CHS 1255","WBGene00006255"
"CHS 1255","WBGene00006256"
"CHS 1255","WBGene00006257"
"CHS 1255","WBGene00006258"
"CHS 1255","WBGene00006259"
"CHS 1255","WBGene00008321"
"CHS 1256","WBGene00001052"
"CHS 1256","WBGene00001053"
"CHS 1256","WBGene00011382"
"CHS 1256","WBGene00016037"
"CHS 1256","WBGene00016872"
"CHS 1256","WBGene00020506"
"CHS 1256","WBGene00021897"
"CHS 1256","WBGene00044004"
"CHS 1257","WBGene00005182"
"CHS 1257","WBGene00005183"
"CHS 1257","WBGene00005184"
"CHS 1257","WBGene00005185"
"CHS 1257","WBGene00005186"
"CHS 1257","WBGene00005187"
"CHS 1258","WBGene00006093"
"CHS 1258","WBGene00006094"
"CHS 1258","WBGene00006096"
"CHS 1258","WBGene00006097"
"CHS 1258","WBGene00006099"
"CHS 1258","WBGene00006101"
"CHS 1259","WBGene00005490"
"CHS 1259","WBGene00005491"
"CHS 1259","WBGene00005492"
"CHS 1259","WBGene00005493"
"CHS 1259","WBGene00005494"
"CHS 1259","WBGene00005495"
"CHS 1259","WBGene00005496"
"CHS 1259","WBGene00005497"
"CHS 1259","WBGene00005499"
"CHS 1259","WBGene00005500"
"CHS 1259","WBGene00005501"
"CHS 1259","WBGene00005502"
"CHS 1259","WBGene00005503"
"CHS 1259","WBGene00005504"
"CHS 1259","WBGene00005505"
"CHS 1259","WBGene00005507"
"CHS 1259","WBGene00005508"
"CHS 1260","WBGene00005756"
"CHS 1260","WBGene00005757"
"CHS 1260","WBGene00005758"
"CHS 1260","WBGene00005759"
"CHS 1260","WBGene00005760"
"CHS 1260","WBGene00005761"
"CHS 1260","WBGene00005762"
"CHS 1261","WBGene00010979"
"CHS 1261","WBGene00011922"
"CHS 1261","WBGene00015799"
"CHS 1261","WBGene00019287"
"CHS 1261","WBGene00020008"
"CHS 1261","WBGene00194726"
"CHS 1262","WBGene00008937"
"CHS 1262","WBGene00010929"
"CHS 1262","WBGene00010950"
"CHS 1262","WBGene00012770"
"CHS 1262","WBGene00012772"
"CHS 1262","WBGene00012773"
"CHS 1262","WBGene00012775"
"CHS 1262","WBGene00014924"
"CHS 1262","WBGene00014926"
"CHS 1262","WBGene00021413"
"CHS 1262","WBGene00021599"
"CHS 1262","WBGene00022409"
"CHS 1263","WBGene00013760"
"CHS 1263","WBGene00015315"
"CHS 1263","WBGene00015316"
"CHS 1263","WBGene00015317"
"CHS 1263","WBGene00015318"
"CHS 1263","WBGene00021706"
"CHS 1263","WBGene00021707"
"CHS 1263","WBGene00021708"
"CHS 1263","WBGene00044089"
"CHS 1263","WBGene00044090"
"CHS 1264","WBGene00005551"
"CHS 1264","WBGene00005562"
"CHS 1264","WBGene00005563"
"CHS 1264","WBGene00005565"
"CHS 1264","WBGene00044551"
"CHS 1264","WBGene00045303"
"CHS 1264","WBGene00045304"
"CHS 1265","WBGene00006069"
"CHS 1265","WBGene00006071"
"CHS 1265","WBGene00006072"
"CHS 1265","WBGene00006073"
"CHS 1265","WBGene00006074"
"CHS 1265","WBGene00006075"
"CHS 1265","WBGene00006076"
"CHS 1265","WBGene00006077"
"CHS 1265","WBGene00011943"
"CHS 1265","WBGene00015417"
"CHS 1266","WBGene00013490"
"CHS 1266","WBGene00016279"
"CHS 1266","WBGene00044780"
"CHS 1266","WBGene00044897"
"CHS 1266","WBGene00045380"
"CHS 1266","WBGene00077464"
"CHS 1266","WBGene00189957"
"CHS 1266","WBGene00194799"
"CHS 1266","WBGene00194896"
"CHS 1266","WBGene00206511"
"CHS 1267","WBGene00008021"
"CHS 1267","WBGene00008079"
"CHS 1267","WBGene00015398"
"CHS 1267","WBGene00016223"
"CHS 1267","WBGene00022527"
"CHS 1268","WBGene00005315"
"CHS 1268","WBGene00005316"
"CHS 1268","WBGene00005318"
"CHS 1268","WBGene00005319"
"CHS 1268","WBGene00005321"
"CHS 1268","WBGene00005323"
"CHS 1268","WBGene00005328"
"CHS 1268","WBGene00005330"
"CHS 1268","WBGene00005331"
"CHS 1268","WBGene00005332"
"CHS 1268","WBGene00005334"
"CHS 1268","WBGene00005335"
"CHS 1268","WBGene00005337"
"CHS 1268","WBGene00005338"
"CHS 1268","WBGene00005339"
"CHS 1268","WBGene00005340"
"CHS 1268","WBGene00005341"
"CHS 1268","WBGene00005512"
"CHS 1269","WBGene00005066"
"CHS 1269","WBGene00005067"
"CHS 1269","WBGene00005068"
"CHS 1269","WBGene00005070"
"CHS 1269","WBGene00019027"
"CHS 1269","WBGene00019028"
"CHS 1270","WBGene00005566"
"CHS 1270","WBGene00005569"
"CHS 1270","WBGene00005572"
"CHS 1270","WBGene00005573"
"CHS 1270","WBGene00005574"
"CHS 1270","WBGene00005575"
"CHS 1270","WBGene00005577"
"CHS 1270","WBGene00005590"
