"strain","wbid"
"CHS 1037","WBGene00044099"
"CHS 1038","WBGene00012181"
"CHS 1038","WBGene00015730"
"CHS 1038","WBGene00016232"
"CHS 1038","WBGene00016850"
"CHS 1038","WBGene00016852"
"CHS 1038","WBGene00016853"
"CHS 1038","WBGene00016859"
"CHS 1038","WBGene00017107"
"CHS 1038","WBGene00018554"
"CHS 1038","WBGene00020055"
"CHS 1038","WBGene00021568"
"CHS 1038","WBGene00022528"
"CHS 1038","WBGene00022529"
"CHS 1039","WBGene00010071"
"CHS 1039","WBGene00012329"
"CHS 1039","WBGene00012333"
"CHS 1039","WBGene00012724"
"CHS 1039","WBGene00012725"
"CHS 1039","WBGene00044084"
"CHS 1040","WBGene00016265"
"CHS 1040","WBGene00016747"
"CHS 1040","WBGene00017176"
"CHS 1040","WBGene00019616"
"CHS 1041","WBGene00016149"
"CHS 1041","WBGene00016909"
"CHS 1041","WBGene00020023"
"CHS 1041","WBGene00020586"
"CHS 1042","WBGene00005310"
"CHS 1042","WBGene00005313"
"CHS 1042","WBGene00005315"
"CHS 1042","WBGene00005316"
"CHS 1042","WBGene00005317"
"CHS 1043","WBGene00005262"
"CHS 1043","WBGene00005263"
"CHS 1043","WBGene00005264"
"CHS 1043","WBGene00005265"
"CHS 1043","WBGene00005267"
"CHS 1043","WBGene00005268"
"CHS 1044","WBGene00005430"
"CHS 1044","WBGene00005432"
"CHS 1044","WBGene00005433"
"CHS 1044","WBGene00005435"
"CHS 1044","WBGene00005436"
"CHS 1044","WBGene00005437"
"CHS 1045","WBGene00005271"
"CHS 1045","WBGene00005272"
"CHS 1045","WBGene00005273"
"CHS 1045","WBGene00005274"
"CHS 1045","WBGene00005275"
"CHS 1045","WBGene00005278"
"CHS 1046","WBGene00006117"
"CHS 1046","WBGene00006120"
"CHS 1046","WBGene00006121"
"CHS 1046","WBGene00006122"
"CHS 1047","WBGene00005256"
"CHS 1047","WBGene00005257"
"CHS 1047","WBGene00005258"
"CHS 1047","WBGene00005259"
"CHS 1047","WBGene00005260"
"CHS 1047","WBGene00005261"
"CHS 1048","WBGene00006266"
"CHS 1048","WBGene00006268"
"CHS 1048","WBGene00006270"
"CHS 1048","WBGene00006271"
"CHS 1048","WBGene00006272"
"CHS 1049","WBGene00006220"
"CHS 1049","WBGene00006221"
"CHS 1049","WBGene00006222"
"CHS 1049","WBGene00006224"
"CHS 1049","WBGene00006225"
"CHS 1049","WBGene00006226"
"CHS 1050","WBGene00011013"
"CHS 1050","WBGene00011219"
"CHS 1050","WBGene00014070"
"CHS 1050","WBGene00044012"
"CHS 1050","WBGene00044114"
"CHS 1051","WBGene00005798"
"CHS 1051","WBGene00005800"
"CHS 1051","WBGene00005801"
"CHS 1051","WBGene00005802"
"CHS 1051","WBGene00012083"
"CHS 1051","WBGene00194799"
"CHS 1052","WBGene00007997"
"CHS 1052","WBGene00012705"
"CHS 1052","WBGene00012707"
"CHS 1052","WBGene00012708"
"CHS 1052","WBGene00012709"
"CHS 1052","WBGene00016579"
"CHS 1053","WBGene00012072"
"CHS 1053","WBGene00013572"
"CHS 1053","WBGene00016222"
"CHS 1054","WBGene00005095"
"CHS 1054","WBGene00005096"
"CHS 1054","WBGene00005097"
"CHS 1054","WBGene00005098"
"CHS 1054","WBGene00005099"
"CHS 1054","WBGene00005110"
"CHS 1055","WBGene00006277"
"CHS 1055","WBGene00006278"
"CHS 1055","WBGene00006279"
"CHS 1056","WBGene00005149"
"CHS 1056","WBGene00005150"
"CHS 1056","WBGene00009242"
"CHS 1056","WBGene00011745"
"CHS 1056","WBGene00015036"
"CHS 1056","WBGene00015568"
"CHS 1057","WBGene00003807"
"CHS 1058","WBGene00013974"
"CHS 1058","WBGene00016110"
"CHS 1058","WBGene00020689"
"CHS 1059","WBGene00005700"
"CHS 1059","WBGene00005701"
"CHS 1059","WBGene00005702"
"CHS 1059","WBGene00005707"
"CHS 1059","WBGene00005708"
"CHS 1059","WBGene00044087"
"CHS 1060","WBGene00005903"
"CHS 1060","WBGene00005904"
"CHS 1060","WBGene00005905"
"CHS 1060","WBGene00005924"
"CHS 1060","WBGene00005925"
"CHS 1060","WBGene00005927"
"CHS 1061","WBGene00006428"
"CHS 1061","WBGene00006576"
"CHS 1061","WBGene00016761"
"CHS 1062","WBGene00009619"
"CHS 1062","WBGene00016984"
"CHS 1062","WBGene00018067"
"CHS 1063","WBGene00012084"
"CHS 1063","WBGene00012275"
"CHS 1063","WBGene00013883"
"CHS 1064","WBGene00008065"
"CHS 1064","WBGene00011578"
"CHS 1064","WBGene00020727"
"CHS 1065","WBGene00011372"
"CHS 1065","WBGene00011381"
"CHS 1065","WBGene00018344"
"CHS 1066","WBGene00005591"
"CHS 1066","WBGene00005592"
"CHS 1066","WBGene00005593"
"CHS 1066","WBGene00005594"
"CHS 1067","WBGene00006153"
"CHS 1067","WBGene00006154"
"CHS 1067","WBGene00006155"
"CHS 1067","WBGene00006156"
"CHS 1067","WBGene00006157"
"CHS 1067","WBGene00006158"
"CHS 1068","WBGene00005517"
"CHS 1068","WBGene00005530"
"CHS 1068","WBGene00005531"
"CHS 1068","WBGene00005532"
"CHS 1068","WBGene00005533"
"CHS 1069","WBGene00009278"
"CHS 1069","WBGene00013782"
"CHS 1069","WBGene00020319"
"CHS 1070","WBGene00005672"
"CHS 1070","WBGene00005674"
"CHS 1070","WBGene00005675"
"CHS 1070","WBGene00005676"
"CHS 1070","WBGene00005678"
"CHS 1070","WBGene00005703"
"CHS 1071","WBGene00005027"
"CHS 1071","WBGene00005036"
"CHS 1071","WBGene00005037"
"CHS 1071","WBGene00005038"
"CHS 1071","WBGene00005039"
"CHS 1071","WBGene00005040"
"CHS 1072","WBGene00006864"
"CHS 1072","WBGene00008065"
"CHS 1072","WBGene00015559"
"CHS 1073","WBGene00015730"
"CHS 1073","WBGene00018554"
"CHS 1073","WBGene00021568"
"CHS 1074","WBGene00007834"
"CHS 1074","WBGene00010153"
"CHS 1074","WBGene00012318"
"CHS 1074","WBGene00012321"
"CHS 1074","WBGene00015637"
"CHS 1074","WBGene00017564"
"CHS 1075","WBGene00006208"
"CHS 1075","WBGene00006209"
"CHS 1075","WBGene00006210"
"CHS 1075","WBGene00006211"
"CHS 1075","WBGene00006213"
"CHS 1076","WBGene00008808"
"CHS 1076","WBGene00011582"
"CHS 1077","WBGene00010527"
"CHS 1077","WBGene00015652"
"CHS 1077","WBGene00015653"
"CHS 1077","WBGene00023462"
"CHS 1077","WBGene00023463"
"CHS 1077","WBGene00023517"
"CHS 1078","WBGene00006133"
"CHS 1078","WBGene00006134"
"CHS 1078","WBGene00006135"
"CHS 1079","WBGene00013187"
"CHS 1079","WBGene00016842"
"CHS 1079","WBGene00020086"
"CHS 1079","WBGene00022004"
"CHS 1080","WBGene00013848"
"CHS 1080","WBGene00018886"
"CHS 1080","WBGene00019183"
"CHS 1081","WBGene00005053"
"CHS 1081","WBGene00005054"
"CHS 1081","WBGene00005055"
"CHS 1081","WBGene00005056"
"CHS 1081","WBGene00005057"
"CHS 1081","WBGene00005058"
"CHS 1082","WBGene00009629"
"CHS 1082","WBGene00010986"
"CHS 1082","WBGene00022086"
"CHS 1083","WBGene00020712"
"CHS 1083","WBGene00021439"
"CHS 1084","WBGene00008342"
"CHS 1084","WBGene00017661"
"CHS 1084","WBGene00019444"
"CHS 1084","WBGene00019445"
"CHS 1085","WBGene00013642"
"CHS 1085","WBGene00016246"
"CHS 1086","WBGene00004776"
"CHS 1086","WBGene00004779"
"CHS 1086","WBGene00004780"
"CHS 1086","WBGene00008890"
"CHS 1087","WBGene00004778"
"CHS 1087","WBGene00006411"
"CHS 1087","WBGene00021897"
"CHS 1088","WBGene00004777"
"CHS 1088","WBGene00006475"
"CHS 1088","WBGene00017157"
"CHS 1089","WBGene00001175"
"CHS 1090","WBGene00011878"
"CHS 1091","WBGene00000478"
"CHS 1091","WBGene00003238"
"CHS 1092","WBGene00009999"
"CHS 1092","WBGene00010800"
"CHS 1092","WBGene00010802"
"CHS 1092","WBGene00012054"
"CHS 1092","WBGene00012055"
"CHS 1092","WBGene00022655"
"CHS 1093","WBGene00008837"
"CHS 1093","WBGene00008839"
"CHS 1093","WBGene00013276"
"CHS 1093","WBGene00013277"
"CHS 1093","WBGene00017371"
"CHS 1093","WBGene00020225"
"CHS 1094","WBGene00005482"
"CHS 1094","WBGene00005488"
"CHS 1094","WBGene00005489"
"CHS 1094","WBGene00005490"
"CHS 1095","WBGene00011485"
"CHS 1095","WBGene00016685"
"CHS 1095","WBGene00016687"
"CHS 1095","WBGene00016693"
"CHS 1095","WBGene00016696"
"CHS 1095","WBGene00019558"
"CHS 1095","WBGene00019559"
"CHS 1096","WBGene00005161"
"CHS 1096","WBGene00005162"
"CHS 1096","WBGene00005195"
"CHS 1096","WBGene00005211"
"CHS 1096","WBGene00005212"
"CHS 1096","WBGene00005226"
"CHS 1097","WBGene00005188"
"CHS 1097","WBGene00005189"
"CHS 1097","WBGene00005190"
"CHS 1097","WBGene00005191"
"CHS 1097","WBGene00005193"
"CHS 1097","WBGene00005194"
"CHS 1098","WBGene00006078"
"CHS 1098","WBGene00006080"
"CHS 1098","WBGene00006081"
"CHS 1098","WBGene00006159"
"CHS 1098","WBGene00006160"
"CHS 1098","WBGene00006161"
"CHS 1098","WBGene00006162"
"CHS 1098","WBGene00008637"
"CHS 1098","WBGene00010591"
"CHS 1099","WBGene00005279"
"CHS 1099","WBGene00005280"
"CHS 1099","WBGene00005281"
"CHS 1099","WBGene00005282"
"CHS 1099","WBGene00005509"
"CHS 1100","WBGene00008728"
"CHS 1100","WBGene00010217"
"CHS 1100","WBGene00010218"
"CHS 1100","WBGene00010220"
"CHS 1100","WBGene00012286"
"CHS 1100","WBGene00043058"
"CHS 1101","WBGene00005043"
"CHS 1101","WBGene00005044"
"CHS 1101","WBGene00005046"
"CHS 1101","WBGene00005047"
"CHS 1101","WBGene00005048"
"CHS 1101","WBGene00005049"
"CHS 1101","WBGene00005050"
"CHS 1101","WBGene00005051"
"CHS 1101","WBGene00005052"
"CHS 1102","WBGene00015079"
"CHS 1102","WBGene00015080"
"CHS 1102","WBGene00015082"
"CHS 1102","WBGene00015085"
"CHS 1102","WBGene00206513"
"CHS 1102","WBGene00271577"
"CHS 1102","WBGene00271715"
"CHS 1103","WBGene00001475"
"CHS 1103","WBGene00002252"
"CHS 1103","WBGene00017947"
"CHS 1103","WBGene00017948"
"CHS 1104","WBGene00005716"
"CHS 1104","WBGene00005717"
"CHS 1104","WBGene00005718"
"CHS 1104","WBGene00005719"
"CHS 1104","WBGene00005720"
"CHS 1104","WBGene00005721"
"CHS 1104","WBGene00007908"
"CHS 1104","WBGene00015263"
"CHS 1105","WBGene00016471"
"CHS 1105","WBGene00016475"
"CHS 1105","WBGene00016476"
"CHS 1105","WBGene00016477"
"CHS 1105","WBGene00016479"
"CHS 1105","WBGene00016480"
"CHS 1105","WBGene00020607"
"CHS 1105","WBGene00020608"
"CHS 1105","WBGene00020623"
"CHS 1106","WBGene00005618"
"CHS 1106","WBGene00005621"
"CHS 1106","WBGene00005622"
"CHS 1106","WBGene00005623"
"CHS 1106","WBGene00005624"
"CHS 1106","WBGene00005625"
"CHS 1106","WBGene00005626"
"CHS 1106","WBGene00005627"
"CHS 1106","WBGene00005628"
"CHS 1106","WBGene00005629"
"CHS 1106","WBGene00005631"
"CHS 1106","WBGene00005632"
"CHS 1106","WBGene00005633"
"CHS 1106","WBGene00005634"
"CHS 1106","WBGene00005635"
"CHS 1107","WBGene00005910"
"CHS 1107","WBGene00005915"
"CHS 1107","WBGene00005917"
"CHS 1107","WBGene00005919"
"CHS 1107","WBGene00005920"
"CHS 1107","WBGene00005922"
"CHS 1107","WBGene00005923"
"CHS 1108","WBGene00005658"
"CHS 1108","WBGene00005659"
"CHS 1108","WBGene00005660"
"CHS 1108","WBGene00005661"
"CHS 1109","WBGene00007346"
"CHS 1109","WBGene00011765"
"CHS 1109","WBGene00015323"
"CHS 1109","WBGene00019496"
"CHS 1110","WBGene00015068"
"CHS 1110","WBGene00015069"
"CHS 1110","WBGene00015070"
"CHS 1110","WBGene00015072"
"CHS 1110","WBGene00015367"
"CHS 1110","WBGene00015368"
"CHS 1110","WBGene00020877"
"CHS 1111","WBGene00011931"
"CHS 1111","WBGene00015419"
"CHS 1111","WBGene00016543"
"CHS 1111","WBGene00019032"
"CHS 1111","WBGene00044124"
"CHS 1111","WBGene00044125"
"CHS 1112","WBGene00009298"
"CHS 1112","WBGene00010394"
"CHS 1112","WBGene00010530"
"CHS 1112","WBGene00015018"
"CHS 1112","WBGene00015411"
"CHS 1112","WBGene00023478"
"CHS 1113","WBGene00005763"
"CHS 1113","WBGene00005764"
"CHS 1113","WBGene00005766"
"CHS 1113","WBGene00005767"
"CHS 1113","WBGene00005768"
"CHS 1113","WBGene00005769"
"CHS 1114","WBGene00005855"
"CHS 1114","WBGene00005858"
"CHS 1114","WBGene00005859"
"CHS 1114","WBGene00005860"
"CHS 1114","WBGene00010820"
"CHS 1115","WBGene00005159"
"CHS 1115","WBGene00005169"
"CHS 1115","WBGene00005171"
"CHS 1115","WBGene00005172"
"CHS 1115","WBGene00005173"
"CHS 1115","WBGene00005174"
"CHS 1116","WBGene00005652"
"CHS 1116","WBGene00005653"
"CHS 1116","WBGene00005654"
"CHS 1116","WBGene00005655"
"CHS 1116","WBGene00005657"
"CHS 1117","WBGene00010025"
"CHS 1117","WBGene00010026"
"CHS 1117","WBGene00019745"
"CHS 1117","WBGene00020746"
"CHS 1117","WBGene00044105"
"CHS 1118","WBGene00016827"
"CHS 1118","WBGene00016828"
"CHS 1118","WBGene00016829"
"CHS 1118","WBGene00016830"
"CHS 1118","WBGene00016831"
"CHS 1118","WBGene00016834"
"CHS 1119","WBGene00001805"
"CHS 1119","WBGene00001806"
"CHS 1120","WBGene00006459"
"CHS 1120","WBGene00008239"
"CHS 1120","WBGene00010329"
"CHS 1120","WBGene00015299"
"CHS 1120","WBGene00017338"
"CHS 1121","WBGene00011371"
"CHS 1121","WBGene00015364"
"CHS 1121","WBGene00019231"
"CHS 1121","WBGene00021328"
"CHS 1121","WBGene00022824"
"CHS 1122","WBGene00015656"
"CHS 1122","WBGene00023475"
"CHS 1122","WBGene00023513"
"CHS 1122","WBGene00043052"
"CHS 1122","WBGene00044587"
"CHS 1123","WBGene00005111"
